Section,Width,Depth,THK,Flange Width,Leg
Z165*1.5,333,165,1.5,70,19.5
Z165*1.8,333,165,1.8,70,19.5
Z165*2.1,337,165,2.1,70,22.5
Z165*2.5,337,165,2.5,70,22.5
Z200*1.5,369,200,1.5,70,19.5
Z200*1.65,368,200,1.65,70,19.5
Z200*1.8,368,200,1.8,70,19.5
Z200*1.95,373,200,1.95,70,22.5
Z200*2.1,373,200,2.1,70,22.5
Z200*2.5,370,200,2.5,70,22.5
Z200*3.0,370,200,3,70,22.5
Z240*1.5,408,240,1.5,70,19.5
Z240*1.65,408,240,1.65,70,19.5
Z240*1.8,408,240,1.8,70,19.5
Z240*1.95,413,240,1.95,70,22.5
Z240*2.1,413,240,2.1,70,22.5
Z240*2.5,410,240,2.5,70,22.5
Z240*3.0,410,240,3,70,22.5
Z292*1.5,461,292,1.5,70,19.5
Z292*1.8,461,292,1.8,70,19.5
Z292*1.95,465,292,1.95,70,22.5
Z292*2.1,465,292,2.1,70,22.5
Z292*2.5,462,292,2.5,70,22.5
Z292*3.0,462,292,3,70,22.5
Z165*1.5_UNPUNCHED,333,165,1.5,70,19.5
Z165*1.8_UNPUNCHED,333,165,1.8,70,19.5
Z165*2.1_UNPUNCHED,337,165,2.1,70,22.5
Z165*2.5_UNPUNCHED,337,165,2.5,70,22.5
Z200*1.5_UNPUNCHED,369,200,1.5,70,19.5
Z200*1.65_UNPUNCHED,368,200,1.65,70,19.5
Z200*1.8_UNPUNCHED,368,200,1.8,70,19.5
Z200*1.95_UNPUNCHED,373,200,1.95,70,22.5
Z200*2.1_UNPUNCHED,373,200,2.1,70,22.5
Z200*2.5_UNPUNCHED,370,200,2.5,70,22.5
Z200*3.0_UNPUNCHED,370,200,3,70,22.5
Z240*1.5_UNPUNCHED,408,240,1.5,70,19.5
Z240*1.65_UNPUNCHED,408,240,1.65,70,19.5
Z240*1.8_UNPUNCHED,408,240,1.8,70,19.5
Z240*1.95_UNPUNCHED,413,240,1.95,70,22.5
Z240*2.1_UNPUNCHED,413,240,2.1,70,22.5
Z240*2.5_UNPUNCHED,410,240,2.5,70,22.5
Z240*3.0_UNPUNCHED,410,240,3,70,22.5
Z292*1.5_UNPUNCHED,461,292,1.5,70,19.5
Z292*1.8_UNPUNCHED,461,292,1.8,70,19.5
Z292*1.95_UNPUNCHED,465,292,1.95,70,22.5
Z292*2.1_UNPUNCHED,465,292,2.1,70,22.5
Z292*2.5_UNPUNCHED,462,292,2.5,70,22.5
Z292*3.0_UNPUNCHED,462,292,3,70,22.5
Z165X1.5,333,165,1.5,70,19.5
Z165X1.8,333,165,1.8,70,19.5
Z165X2.1,337,165,2.1,70,22.5
Z165X2.5,337,165,2.5,70,22.5
Z200X1.5,369,200,1.5,70,19.5
Z200X1.65,368,200,1.65,70,19.5
Z200X1.8,368,200,1.8,70,19.5
Z200X1.95,373,200,1.95,70,22.5
Z200X2.1,373,200,2.1,70,22.5
Z200X2.5,370,200,2.5,70,22.5
Z200X3.0,370,200,3,70,22.5
Z240X1.5,408,240,1.5,70,19.5
Z240X1.65,408,240,1.65,70,19.5
Z240X1.8,408,240,1.8,70,19.5
Z240X1.95,413,240,1.95,70,22.5
Z240X2.1,413,240,2.1,70,22.5
Z240X2.5,410,240,2.5,70,22.5
Z240X3.0,410,240,3,70,22.5
Z292X1.5,461,292,1.5,70,19.5
Z292X1.8,461,292,1.8,70,19.5
Z292X1.95,465,292,1.95,70,22.5
Z292X2.1,465,292,2.1,70,22.5
Z292X2.5,462,292,2.5,70,22.5
Z292X3.0,462,292,3,70,22.5
