"ORG","Order Num","Item Cat","Batch Id","Sort Id","Seq","Dept","Res","Res Desc","Raw Material","Coil Width","Coil Color","Sort Complete","Fa Job","Fa Item","Item Desc","Mark No","Prd Width","Stack","Fa Seq","Line Seq","Fa Qty","Bundle","Unit Length"
"SJG","18047356180","ZEES","1816474","26770124","10","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719607:Yang Sheng T","WV1063300003986*31985150","Z GIRT ASSY.","","","1","24","1","2","10CM","3986"
"SJG","18047356180","ZEES","1816474","26770125","11","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719608:Yang Sheng T","WV1063400003246*31985151","Z GIRT ASSY.","","","1","29","1","2","11CM","3246"
"SJG","18047356180","ZEES","1816474","26770126","12","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719609:Yang Sheng T","WV1063700004366*31985152","Z GIRT ASSY.","","","1","19","1","2","12CM","4366"
"SJG","18047356180","ZEES","1816474","26770127","13","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719610:Yang Sheng T","WV1063800004261*31985153","Z GIRT ASSY.","","","1","20","1","2","13CM","4261"
"SJG","18047356180","ZEES","1816474","26770128","14","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719611:Yang Sheng T","WV1063900002566*31985154","Z GIRT ASSY.","","","1","35","1","2","14CM","2566"
"SJG","18047356180","ZEES","1816474","26770129","15","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719612:Yang Sheng T","WV1064000003321*31985155","Z GIRT ASSY.","","","1","27","1","2","15CM","3321"
"SJG","18047356180","ZEES","1816474","26770130","16","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719613:Yang Sheng T","WV1064200004662*31985156","Z GIRT ASSY.","","","1","18","1","1","16CM","4662"
"SJG","18047356180","ZEES","1816474","26770131","17","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719614:Yang Sheng T","WV1064300002626*31985157","Z GIRT ASSY.","","","1","33","1","1","17CM","2626"
"SJG","18047356180","ZEES","1816474","26770132","18","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719615:Yang Sheng T","WV1064400002581*31985158","Z GIRT ASSY.","","","1","34","1","1","18CM","2581"
"SJG","18047356180","ZEES","1816474","26770133","19","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719616:Yang Sheng T","WV1064600003381*31985159","Z GIRT ASSY.","","","1","26","1","2","19CM","3381"
"SJG","18047356180","ZEES","1816474","26770134","20","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719617:Yang Sheng T","WV1064700006895*31985160","Z GIRT ASSY.","","","1","16","1","6","20CM","6895"
"SJG","18047356180","ZEES","1816474","26770135","21","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719618:Yang Sheng T","WV1064800004061*31985161","Z GIRT ASSY.","","","1","21","1","1","21CM","4061"
"SJG","18047356180","ZEES","1816474","26770136","22","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719619:Yang Sheng T","WV1064900003306*31985162","Z GIRT ASSY.","","","1","28","1","1","22CM","3306"
"SJG","18047356180","ZEES","1816474","26770137","23","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719620:Yang Sheng T","WV1065100008895*31985163","Z GIRT ASSY.","","","1","3","1","4","23CM","8895"
"SJG","18047356180","ZEES","1816474","26770138","24","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719621:Yang Sheng T","WV1065200008895*31985164","Z GIRT ASSY.","","","1","4","1","4","24CM","8895"
"SJG","18047356180","ZEES","1816474","26770139","25","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719622:Yang Sheng T","WV1065300008895*31985165","Z GIRT ASSY.","","","1","5","1","4","25CM","8895"
"SJG","18047356180","ZEES","1816474","26770140","26","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719623:Yang Sheng T","WV1065400008895*31985166","Z GIRT ASSY.","","","1","6","1","4","26CM","8895"
"SJG","18047356180","ZEES","1816474","26770141","27","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719624:Yang Sheng T","WV1065500008895*31985167","Z GIRT ASSY.","","","1","7","1","4","27CM","8895"
"SJG","18047356180","ZEES","1816474","26770142","28","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719625:Yang Sheng T","WV1065600008895*31985168","Z GIRT ASSY.","","","1","8","1","4","28CM","8895"
"SJG","18047356180","ZEES","1816474","26770143","29","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719626:Yang Sheng T","WV1065700008895*31985169","Z GIRT ASSY.","","","1","9","1","4","29CM","8895"
"SJG","18047356180","ZEES","1816474","26770144","2","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719600:Yang Sheng T","WV1062600003126*31985143","Z GIRT ASSY.","","","1","31","1","2","2CM","3126"
"SJG","18047356180","ZEES","1816474","26770145","30","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719627:Yang Sheng T","WV1065800008895*31985170","Z GIRT ASSY.","","","1","10","1","4","30CM","8895"
"SJG","18047356180","ZEES","1816474","26770146","32","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719629:Yang Sheng T","WV1066100008895*31985172","Z GIRT ASSY.","","","1","11","1","4","32CM","8895"
"SJG","18047356180","ZEES","1816474","26770147","33","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719630:Yang Sheng T","WV1066200008895*31985173","Z GIRT ASSY.","","","1","12","1","4","33CM","8895"
"SJG","18047356180","ZEES","1816474","26770148","35","755","PURLIN","Purlin line (Butler)","C048064","408","","","18047356180:35719632:Yang Sheng T","WV1071200003186*31985219","Z GIRT ASSY.","","","1","30","1","1","35CM","3186"
